Banco Nacional de Desenvolvimento Econômico e Social,BNDES
Conselho Nacional de Desenvolvimento Científico e Tecnológico,CNPq
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,CAPES
Empresa Brasileira de Pesquisa Agropecuária,EMBRAPA
Fundação Amazônia de Amparo a Estudos e Pesquisas,FAPESPA
Fundação Cearense de Amparo à Pesquisa,FUNCAP
Fundação de Amparo à Ciência e Tecnologia de Pernambuco,FACEPE
Fundação de Amparo à Pesquisa de Alagoas,FAPEAL
Fundação de Amparo à Pesquisa de Sergipe,FAP-SE
Fundação de Amparo à Pesquisa do Estado da Bahia,FAPESB
Fundação de Amparo à Pesquisa do Estado da Paraíba,FAPEP
Fundação de Amparo à Pesquisa do Estado de Minas Gerais,FAPEMIG
Fundação de Amparo à Pesquisa do Estado de São Paulo,FAPESP
Fundação de Amparo à Pesquisa do Estado do Amazonas,FAPEAM
Fundação de Amparo à Pesquisa do Estado do Mato Grosso,FAPEMAT
Fundação de Amparo à Pesquisa do Estado do Pará,FAPESPA
Fundação de Amparo à Pesquisa do Estado do Piauí,FAPEPI
Fundação de Amparo à Pesquisa do Estado do Rio de Janeiro,FAPERJ
Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul,FAPERGS
Fundação de Amparo à Pesquisa e ao Desenvolvimento Científico e Tecnológico do Maranhão,FAPEMA
Fundação de Apoio à Ciência e Tecnologia do Distrito Federal,FAP-DF
Fundação de Apoio ao Desenvolvimento do Ensino Ciência e Tecnologia do Estado do Mato Grosso do Sul,FUNDECT
Fundação de Apoio à Pesquisa do Estado da Paraíba,FAPESQ
Fundação de Apoio Científico e Tecnológico do Tocantins,FAPTO
Fundação de Ciência e Tecnologia de Santa Catarina,FUNCITEC
Fundo Nacional de Desenvolvimento da Educação,FNDE
Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis,IBAMA
Instituto Chico Mendes de Conservação da Biodiversidade,ICMBio
Instituto Nacional de Pesquisas da Amazônia,INPA
World Bank Group,IBRD
Fundação de Apoio ao Ensino Pesquisa e Assistência do Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo,FAEPA
Programa de Apoio aos Núcleos de Excelência,PRONEX
Fundação de Amparo à Pesquisa e Inovação do Estado de Santa Catarina,FAPESC
Universidad de Antioquia,UdeA
Brazilian National Council for Scientific and Technological Development,CNPQ
Brazilian Research Council,CNPQ
European Union,EU
Programa de Apoio do Desenvolvimento Científico e Tecnológico,PADCT
Institutos Nacionais de Ciência e Tecnologia,INCT
National Natural Science Foundation of China,NSFC
Araucaria Foundation,AF
Fundação Araucária,FA
Fundação de Apoio à Pesquisa do Distrito Federal,FAPDF
São Paulo Research Foundation,FAPESP
Fundação de Empreendimentos Científicos e Tecnológicos,FINATEC
National Institutes of Health,NIH
Consejo Nacional de Ciencia y Tecnología,CONACyT
Comisión Nacional de Investigación Científica y Tecnológica,CONICYT
Instituto Federal de Educação Ciência e Tecnologia de Sergipe,IFS
Banco do Nordeste do Brasil S.A.,BNB
Portuguese Foundation for Science and Technology,FCT
Programa Institucional de Bolsas de Iniciação Científica,PIBIC-CNPQ
Fundação Nacional de Saúde,FUNASA
Fundação Grupo Boticário de Proteção à Natureza,
Consejo Nacional de Investigaciones Científicas y Técnicas,CONICET
Financiadora de Estudos e Projetos,FINEP
Ministério da Saúde,MS
Universidad Nacional de Colombia,UNAL
National Key R&D Programmes of China,NKPs
Instituto Tecnológico Vale,ITV
Programa Nacional de Cooperação Acadêmica,PROCAD-CAPES